"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"KALU","Kaiser Aluminum Corporation","104.7","1769826917.7","n/a","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/kalu",
"KALA","Kala Pharmaceuticals, Inc.","17.27","423479932.37","n/a","2017","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/kala",
"KALV","KalVista Pharmaceuticals, Inc.","9.15","98678211.6","n/a","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/kalv",
"KMDA","Kamada Ltd.","4.5","181170144","n/a","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/kmda",
"KNDI","Kandi Technologies Group, Inc.","7.2","345863073.6","n/a","n/a","Capital Goods","Auto Manufacturing","http://www.nasdaq.com/symbol/kndi",
"KPTI","Karyopharm Therapeutics Inc.","9.8","462371595","n/a","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/kpti",
"KAAC","Kayne Anderson Acquisition Corp.","9.72","458445160.8","n/a","2017","Finance","Business Services","http://www.nasdaq.com/symbol/kaac",
"KAACU","Kayne Anderson Acquisition Corp.","9.98","0","n/a","2017","Finance","Business Services","http://www.nasdaq.com/symbol/kaacu",
"KAACW","Kayne Anderson Acquisition Corp.","0.85","0","n/a","2017","Finance","Business Services","http://www.nasdaq.com/symbol/kaacw",
"KZIA","Kazia Therapeutics Limited","2.72","4701351.36","1728438","n/a","Capital Goods","Miscellaneous","http://www.nasdaq.com/symbol/kzia",
"KBLM","KBL Merger Corp. IV","9.71","144460525","n/a","2017","Finance","Business Services","http://www.nasdaq.com/symbol/kblm",
"KBLMR","KBL Merger Corp. IV","0.29","0","n/a","2017","Finance","Business Services","http://www.nasdaq.com/symbol/kblmr",
"KBLMU","KBL Merger Corp. IV","10.16","0","n/a","2017","Finance","Business Services","http://www.nasdaq.com/symbol/kblmu",
"KBLMW","KBL Merger Corp. IV","0.174","0","n/a","2017","Finance","Business Services","http://www.nasdaq.com/symbol/kblmw",
"KBSF","KBS Fashion Group Limited","3.17","5614488.44","n/a","2013","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/kbsf",
"KCAP","KCAP Financial, Inc.","3.43","128073538.32","n/a","2006","n/a","n/a","http://www.nasdaq.com/symbol/kcap",
"KCAPL","KCAP Financial, Inc.","25.1","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/kcapl",
"KRNY","Kearny Financial","14.7","1190962365.6","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/krny",
"KELYA","Kelly Services, Inc.","28.2","1083609195.6","n/a","n/a","Technology","Professional Services","http://www.nasdaq.com/symbol/kelya",
"KELYB","Kelly Services, Inc.","28.5","1095136953","n/a","n/a","Technology","Professional Services","http://www.nasdaq.com/symbol/kelyb",
"KMPH","KemPharm, Inc.","3.8","55698234","n/a","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/kmph",
"KFFB","Kentucky First Federal Bancorp","8.9883","75901834.1745","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/kffb",
"KERX","Keryx Biopharmaceuticals, Inc.","4.52","538890174.8","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/kerx",
"KEQU","Kewaunee Scientific Corporation","27.8444","75750300.3784","n/a","n/a","Capital Goods","Medical Specialities","http://www.nasdaq.com/symbol/kequ",
